ID,ESTACION,FECHA,LONGITUD,LATITUD,ALTITUD,O3,UV_MAX,PP,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
140,MARCAPOMACOCHA,20151018,-76.32508,-11.40443,4443,236.8,9,1.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
141,MARCAPOMACOCHA,20151019,-76.32508,-11.40443,4443,237.8,13,1.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
142,MARCAPOMACOCHA,20151020,-76.32508,-11.40443,4443,237.9,16,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
143,MARCAPOMACOCHA,20151021,-76.32508,-11.40443,4443,236.8,14,1.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
144,MARCAPOMACOCHA,20151022,-76.32508,-11.40443,4443,236.5,9,0.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
145,MARCAPOMACOCHA,20151023,-76.32508,-11.40443,4443,238.6,10,6.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
146,MARCAPOMACOCHA,20151024,-76.32508,-11.40443,4443,237.5,9,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
147,MARCAPOMACOCHA,20151025,-76.32508,-11.40443,4443,243.9,16,3.8,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
148,MARCAPOMACOCHA,20151026,-76.32508,-11.40443,4443,244.4,13,10.7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
149,MARCAPOMACOCHA,20151027,-76.32508,-11.40443,4443,235,9,1.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
150,MARCAPOMACOCHA,20151028,-76.32508,-11.40443,4443,237.3,17,4.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
151,MARCAPOMACOCHA,20151029,-76.32508,-11.40443,4443,235.5,15,18.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
152,MARCAPOMACOCHA,20151030,-76.32508,-11.40443,4443,239.6,16,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
153,MARCAPOMACOCHA,20151031,-76.32508,-11.40443,4443,243.2,16,1.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
154,MARCAPOMACOCHA,20151101,-76.32508,-11.40443,4443,240.4,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
155,MARCAPOMACOCHA,20151102,-76.32508,-11.40443,4443,243.4,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
156,MARCAPOMACOCHA,20151103,-76.32508,-11.40443,4443,243.5,15,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
157,MARCAPOMACOCHA,20151104,-76.32508,-11.40443,4443,243.8,15,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
158,MARCAPOMACOCHA,20151105,-76.32508,-11.40443,4443,242.2,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
159,MARCAPOMACOCHA,20151106,-76.32508,-11.40443,4443,241.4,7,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
160,MARCAPOMACOCHA,20151107,-76.32508,-11.40443,4443,243.2,11,3.8,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
161,MARCAPOMACOCHA,20151108,-76.32508,-11.40443,4443,243.4,13,0.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
162,MARCAPOMACOCHA,20151109,-76.32508,-11.40443,4443,,9,6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
163,MARCAPOMACOCHA,20151110,-76.32508,-11.40443,4443,239.4,15,13.5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
164,MARCAPOMACOCHA,20151111,-76.32508,-11.40443,4443,241.7,15,16.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
165,MARCAPOMACOCHA,20151112,-76.32508,-11.40443,4443,240.8,12,1.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
166,MARCAPOMACOCHA,20151113,-76.32508,-11.40443,4443,238.5,13,2.7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
167,MARCAPOMACOCHA,20151114,-76.32508,-11.40443,4443,246.8,14,9.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
168,MARCAPOMACOCHA,20151115,-76.32508,-11.40443,4443,240.1,12,9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
169,MARCAPOMACOCHA,20151116,-76.32508,-11.40443,4443,242.5,10,7.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
170,MARCAPOMACOCHA,20151117,-76.32508,-11.40443,4443,245.1,18,7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
171,MARCAPOMACOCHA,20151118,-76.32508,-11.40443,4443,242.9,16,2.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
172,MARCAPOMACOCHA,20151119,-76.32508,-11.40443,4443,242.7,16,3.8,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
173,MARCAPOMACOCHA,20151120,-76.32508,-11.40443,4443,240.4,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
174,MARCAPOMACOCHA,20151121,-76.32508,-11.40443,4443,243.4,16,0.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
175,MARCAPOMACOCHA,20151122,-76.32508,-11.40443,4443,243.9,12,2.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
176,MARCAPOMACOCHA,20151123,-76.32508,-11.40443,4443,242.4,16,7.7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
177,MARCAPOMACOCHA,20151124,-76.32508,-11.40443,4443,241.9,13,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
178,MARCAPOMACOCHA,20151125,-76.32508,-11.40443,4443,249.3,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
179,MARCAPOMACOCHA,20151126,-76.32508,-11.40443,4443,244.5,13,1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
180,MARCAPOMACOCHA,20151127,-76.32508,-11.40443,4443,241.1,15,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
181,MARCAPOMACOCHA,20151128,-76.32508,-11.40443,4443,241.1,12,12.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
182,MARCAPOMACOCHA,20151129,-76.32508,-11.40443,4443,240.5,17,5.7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
183,MARCAPOMACOCHA,20151130,-76.32508,-11.40443,4443,241,16,1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
184,MARCAPOMACOCHA,20151201,-76.32508,-11.40443,4443,242.8,12,0.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
185,MARCAPOMACOCHA,20151202,-76.32508,-11.40443,4443,243,12,3.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
186,MARCAPOMACOCHA,20151203,-76.32508,-11.40443,4443,243.8,13,1.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
187,MARCAPOMACOCHA,20151204,-76.32508,-11.40443,4443,242,16,2.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
188,MARCAPOMACOCHA,20151205,-76.32508,-11.40443,4443,249.7,14,1.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
