FECHA,O3,UV_MAX,PP
2021-06-02,243.6,12.666666666666666,0.20000000000000018
2021-06-03,242.7,11.333333333333334,1.8
2021-06-04,240.2,11.0,0.0
2021-06-05,245.3,9.666666666666666,0.0
2021-06-06,247.5,11.0,0.0
2021-06-07,246.1,11.0,0.0
2021-06-08,244.5,10.333333333333334,0.0
2021-06-09,244.7,10.666666666666666,0.0
2021-06-10,242.7,11.0,0.0
2021-06-11,241.7,11.0,0.0
2021-06-12,242.9,12.0,3.0
2021-06-13,243.3,11.0,0.0
2021-06-14,241.6,11.0,0.0
2021-06-15,240.3,10.666666666666666,0.0
2021-06-16,243.4,11.0,0.0
2021-06-17,242.4,11.0,0.0
2021-06-18,241.1,10.333333333333334,0.0
2021-06-19,241.8,11.0,0.0
2021-06-20,241.8,11.333333333333334,0.3999999999999999
2021-06-21,242.5,12.333333333333334,1.8
2021-06-22,243.1,11.0,0.6000000000000001
2021-06-23,238.2,8.0,0.0
2021-06-24,242.6,10.333333333333334,0.0
2021-06-25,244.3,11.0,0.0
2021-06-26,242.9,11.0,0.0
2021-06-27,246.5,12.666666666666666,0.20000000000000018
2021-06-28,246.9,10.333333333333334,0.0
2021-06-29,245.3,9.666666666666666,0.0
2021-06-30,244.6,11.0,0.0
2021-07-01,244.1,11.0,0.0
2021-07-02,246.1,11.0,0.0
2021-07-03,247.8,10.333333333333334,0.0
2021-07-04,251.3,11.0,0.0
2021-07-05,247.9,11.0,0.0
2021-07-06,249.1,10.666666666666666,0.0
2021-07-07,250.6,11.0,0.0
2021-07-08,248.5,8.333333333333332,0.0
2021-07-09,246.6,11.0,0.0
2021-07-10,248.2,11.0,0.0
2021-07-11,247.3,11.0,0.0
2021-07-12,242.9,11.0,0.0
2021-07-13,244.2,11.0,0.0
2021-07-14,241.2,11.0,0.0
2021-07-15,243.6,9.0,0.20000000000000018
2021-07-16,244.0,6.0,0.20000000000000018
2021-07-17,247.0,8.0,0.0
2021-07-18,242.2,10.0,0.20000000000000018
2021-07-19,243.6,9.0,1.2
2021-07-20,243.2,9.0,1.6
2021-07-21,246.7,9.0,6.6
2021-07-22,249.6,9.0,0.0
2021-07-23,250.2,9.0,0.0
2021-07-24,245.3,9.0,0.0
2021-07-25,247.5,8.0,0.0
2021-07-26,248.0,9.0,0.0
2021-07-27,243.0,9.0,0.0
2021-07-28,244.6,8.0,0.0
2021-07-29,243.5,10.0,0.0
2021-07-30,241.9,9.0,0.0
2021-07-31,242.7,10.0,0.0
2021-08-01,246.3,10.0,0.0
2021-08-02,245.8,10.0,0.0
2021-08-03,243.2,10.0,0.0
2021-08-04,240.8,10.0,0.0
2021-08-05,245.7,10.0,0.20000000000000018
2021-08-06,247.5,9.0,0.0
2021-08-07,249.3,10.0,0.0
2021-08-08,248.9,10.0,0.0
2021-08-09,249.2,10.0,0.0
2021-08-10,251.5,9.0,0.0
2021-08-11,243.7,10.0,0.0
2021-08-12,245.7,10.0,0.0
2021-08-13,244.7,9.0,0.0
2021-08-14,244.6,7.0,0.0
2021-08-15,247.9,10.0,0.0
2021-08-16,245.6,10.0,3.8
2021-08-17,246.6,11.0,0.20000000000000018
2021-08-18,248.0,10.0,0.0
